value	id	channel	patient_type	replicate	subject_group	patrep_id	cell_id	cluster
3.327592142	111	Xe	Control	1	Control	C01R01	C01R01_0111	1
3.325731924	112	Xe	Control	1	Control	C01R01	C01R01_0112	1
3.327684437	113	Xe	Control	1	Control	C01R01	C01R01_0113	1
3.337045921	114	Xe	Control	1	Control	C01R01	C01R01_0114	1
3.31964057	115	Xe	Control	1	Control	C01R01	C01R01_0115	1
3.323664418	116	Xe	Control	1	Control	C01R01	C01R01_0116	1
3.322828038	117	Xe	Control	1	Control	C01R01	C01R01_0117	1
3.328732215	118	Xe	Control	1	Control	C01R01	C01R01_0118	1
3.321376997	119	Xe	Control	1	Control	C01R01	C01R01_0119	1
3.32826975	120	Xe	Control	1	Control	C01R01	C01R01_0120	1
3.3237916	121	Xe	Control	1	Control	C01R01	C01R01_0121	1
3.325448734	122	Xe	Control	1	Control	C01R01	C01R01_0122	1
3.32526512	123	Xe	Control	1	Control	C01R01	C01R01_0123	1
3.320248771	124	Xe	Control	1	Control	C01R01	C01R01_0124	1
3.330785099	125	Xe	Control	1	Control	C01R01	C01R01_0125	1
3.330076708	126	Xe	Control	1	Control	C01R01	C01R01_0126	1
3.342746078	127	Xe	Control	1	Control	C01R01	C01R01_0127	1
3.332649565	128	Xe	Control	1	Control	C01R01	C01R01_0128	1
3.324896359	129	Xe	Control	1	Control	C01R01	C01R01_0129	1
3.330798248	130	Xe	Control	1	Control	C01R01	C01R01_0130	1
3.320455715	131	Xe	Control	1	Control	C01R01	C01R01_0131	1
3.325595197	132	Xe	Control	1	Control	C01R01	C01R01_0132	1
3.326105839	133	Xe	Control	1	Control	C01R01	C01R01_0133	1
3.32638491	134	Xe	Control	1	Control	C01R01	C01R01_0134	1
3.324293763	135	Xe	Control	1	Control	C01R01	C01R01_0135	1
3.328591093	136	Xe	Control	1	Control	C01R01	C01R01_0136	1
0.086964488	1	Ba	Control	1	Control	C01R01	C01R01_0001	1
0.137502371	2	Ba	Control	1	Control	C01R01	C01R01_0002	1
0.108758001	3	Ba	Control	1	Control	C01R01	C01R01_0003	1
0.100014476	4	Ba	Control	1	Control	C01R01	C01R01_0004	1
0.1355802	5	Ba	Control	1	Control	C01R01	C01R01_0005	1
0.106884515	6	Ba	Control	1	Control	C01R01	C01R01_0006	1
0.126657335	7	Ba	Control	1	Control	C01R01	C01R01_0007	1
0.182858571	8	Ba	Control	1	Control	C01R01	C01R01_0008	1
0.155769887	9	Ba	Control	1	Control	C01R01	C01R01_0009	1
0.130730973	10	Ba	Control	1	Control	C01R01	C01R01_0010	1
0.133466861	11	Ba	Control	1	Control	C01R01	C01R01_0011	1
0.117785961	12	Ba	Control	1	Control	C01R01	C01R01_0012	1
0.11235924	13	Ba	Control	1	Control	C01R01	C01R01_0013	1
0.127625305	14	Ba	Control	1	Control	C01R01	C01R01_0014	1
0.096367473	15	Ba	Control	1	Control	C01R01	C01R01_0015	1
0.138866905	16	Ba	Control	1	Control	C01R01	C01R01_0016	1
0.125809373	17	Ba	Control	1	Control	C01R01	C01R01_0017	1
0.121256824	18	Ba	Control	1	Control	C01R01	C01R01_0018	1
0.166764889	19	Ba	Control	1	Control	C01R01	C01R01_0019	1
0.137759553	20	Ba	Control	1	Control	C01R01	C01R01_0020	1
0.160698074	21	Ba	Control	1	Control	C01R01	C01R01_0021	1
0.103368418	22	Ba	Control	1	Control	C01R01	C01R01_0022	1
0.124618955	23	Ba	Control	1	Control	C01R01	C01R01_0023	1
0.162821476	24	Ba	Control	1	Control	C01R01	C01R01_0024	1
0.117669415	25	Ba	Control	1	Control	C01R01	C01R01_0025	1
0.123116781	26	Ba	Control	1	Control	C01R01	C01R01_0026	1
0.122334056	27	Ba	Control	1	Control	C01R01	C01R01_0027	1
0.119971791	28	Ba	Control	1	Control	C01R01	C01R01_0028	1
0.112260185	29	Ba	Control	1	Control	C01R01	C01R01_0029	1
0.11919773	30	Ba	Control	1	Control	C01R01	C01R01_0030	1
0.115787253	31	Ba	Control	1	Control	C01R01	C01R01_0031	1
0.11774004	32	Ba	Control	1	Control	C01R01	C01R01_0032	1
0.108329264	33	Ba	Control	1	Control	C01R01	C01R01_0033	1
0.110926787	34	Ba	Control	1	Control	C01R01	C01R01_0034	1
0.132112689	35	Ba	Control	1	Control	C01R01	C01R01_0035	1
0.146783805	36	Ba	Control	1	Control	C01R01	C01R01_0036	1
0.114338584	37	Ba	Control	1	Control	C01R01	C01R01_0037	1
0.120529247	38	Ba	Control	1	Control	C01R01	C01R01_0038	1
0.252343838	39	Ba	Control	1	Control	C01R01	C01R01_0039	1
0.103329581	40	Ba	Control	1	Control	C01R01	C01R01_0040	1
0.118534576	41	Ba	Control	1	Control	C01R01	C01R01_0041	1
0.17211389	42	Ba	Control	1	Control	C01R01	C01R01_0042	1
0.124566178	43	Ba	Control	1	Control	C01R01	C01R01_0043	1
0.112417071	44	Ba	Control	1	Control	C01R01	C01R01_0044	1
0.131954838	45	Ba	Control	1	Control	C01R01	C01R01_0045	1
0.154954539	46	Ba	Control	1	Control	C01R01	C01R01_0046	1
0.094231836	47	Ba	Control	1	Control	C01R01	C01R01_0047	1
0.113206032	48	Ba	Control	1	Control	C01R01	C01R01_0048	1
0.128602678	49	Ba	Control	1	Control	C01R01	C01R01_0049	1
0.127982563	50	Ba	Control	1	Control	C01R01	C01R01_0050	1
0.155501485	51	Ba	Control	1	Control	C01R01	C01R01_0051	1
0.14113753	52	Ba	Control	1	Control	C01R01	C01R01_0052	1
0.136432306	53	Ba	Control	1	Control	C01R01	C01R01_0053	1
0.123577051	54	Ba	Control	1	Control	C01R01	C01R01_0054	1
0.199202514	55	Ba	Control	1	Control	C01R01	C01R01_0055	1
0.143224448	56	Ba	Control	1	Control	C01R01	C01R01_0056	1
0.098921675	57	Ba	Control	1	Control	C01R01	C01R01_0057	1
0.236059328	58	Ba	Control	1	Control	C01R01	C01R01_0058	1
0.190591512	59	Ba	Control	1	Control	C01R01	C01R01_0059	1
0.152646484	60	Ba	Control	1	Control	C01R01	C01R01_0060	1
0.114398316	61	Ba	Control	1	Control	C01R01	C01R01_0061	1
0.169826512	62	Ba	Control	1	Control	C01R01	C01R01_0062	1
0.153820618	63	Ba	Control	1	Control	C01R01	C01R01_0063	1
0.161763804	64	Ba	Control	1	Control	C01R01	C01R01_0064	1
0.138104523	65	Ba	Control	1	Control	C01R01	C01R01_0065	1
0.172870954	66	Ba	Control	1	Control	C01R01	C01R01_0066	1
0.1080823	67	Ba	Control	1	Control	C01R01	C01R01_0067	1
0.2485997	68	Ba	Control	1	Control	C01R01	C01R01_0068	1
0.219400529	69	Ba	Control	1	Control	C01R01	C01R01_0069	1
0.152783256	70	Ba	Control	1	Control	C01R01	C01R01_0070	1
0.110367118	71	Ba	Control	1	Control	C01R01	C01R01_0071	1
0.126000484	72	Ba	Control	1	Control	C01R01	C01R01_0072	1
0.114365045	73	Ba	Control	1	Control	C01R01	C01R01_0073	1
0.130213786	74	Ba	Control	1	Control	C01R01	C01R01_0074	1
0.148708412	75	Ba	Control	1	Control	C01R01	C01R01_0075	1
0.184336378	76	Ba	Control	1	Control	C01R01	C01R01_0076	1
0.100827895	77	Ba	Control	1	Control	C01R01	C01R01_0077	1
0.124626519	78	Ba	Control	1	Control	C01R01	C01R01_0078	1
0.116901452	79	Ba	Control	1	Control	C01R01	C01R01_0079	1
0.134538875	80	Ba	Control	1	Control	C01R01	C01R01_0080	1
0.151868135	81	Ba	Control	1	Control	C01R01	C01R01_0081	1
0.127092353	82	Ba	Control	1	Control	C01R01	C01R01_0082	1
0.134384961	83	Ba	Control	1	Control	C01R01	C01R01_0083	1
0.131016539	84	Ba	Control	1	Control	C01R01	C01R01_0084	1
0.135263529	85	Ba	Control	1	Control	C01R01	C01R01_0085	1
0.123209349	86	Ba	Control	1	Control	C01R01	C01R01_0086	1
0.104428241	87	Ba	Control	1	Control	C01R01	C01R01_0087	1
0.134716799	88	Ba	Control	1	Control	C01R01	C01R01_0088	1
